Type	LocationID	State	StateName	County	CountyState	City	FacilityName
AIRPORT	ADK	AK	ALASKA	ALEUTIANS WEST	AK	ADAK ISLAND	ADAK
AIRPORT	AKK	AK	ALASKA	KODIAK ISLAND	AK	AKHIOK	AKHIOK
AIRPORT	Z13	AK	ALASKA	BETHEL	AK	AKIACHAK	AKIACHAK
SEAPLANE BASE	KKI	AK	ALASKA	BETHEL	AK	AKIACHAK	AKIACHAK
AIRPORT	AKI	AK	ALASKA	BETHEL	AK	AKIAK	AKIAK
SEAPLANE BASE	KQA	AK	ALASKA	ALEUTIANS EAST	AK	AKUTAN	AKUTAN
AIRPORT	7AK	AK	ALASKA	ALEUTIANS EAST	AK	AKUTAN	AKUTAN
AIRPORT	AUK	AK	ALASKA	KUSILVAK	AK	ALAKANUK	ALAKANUK
SEAPLANE BASE	Z33	AK	ALASKA	BRISTOL BAY	AK	ALEKNAGIK	ALEKNAGIK
AIRPORT	5A8	AK	ALASKA	DILLINGHAM	AK	ALEKNAGIK	ALEKNAGIK /NEW
AIRPORT	4AK7	AK	ALASKA	BRISTOL BAY	AK	ALEKNAGIK	ALEKNAGIK MISSION STRIP
AIRPORT	Z25	AK	ALASKA	BRISTOL BAY	AK	ALEKNAGIK	TRIPOD
AIRPORT	6A8	AK	ALASKA	YUKON-KOYUKUK	AK	ALLAKAKET	ALLAKAKET
AIRPORT	AFM	AK	ALASKA	NORTHWEST ARCTIC	AK	AMBLER	AMBLER
AIRPORT	80A	AK	ALASKA	YUKON-KOYUKUK	AK	AMERICAN CREEK	AMERICAN CREEK
SEAPLANE BASE	AK81	AK	ALASKA	KODIAK ISLAND	AK	AMOOK BAY	AMOOK BAY
AIRPORT	AKP	AK	ALASKA	YUKON-KOYUKUK	AK	ANAKTUVUK PASS	ANAKTUVUK PASS
AIRPORT	AK00	AK	ALASKA	KENAI PENINSULA	AK	ANCHOR POINT	ANCHOR RIVER AIRPARK
AIRPORT	00AK	AK	ALASKA	SEWARD	AK	ANCHOR POINT	LOWELL FIELD
