noaa_fips	county_name
01000	Alabama
01001	Autauga County
01003	Baldwin County
01005	Barbour County
01007	Bibb County
01009	Blount County
01011	Bullock County
01013	Butler County
01015	Calhoun County
01017	Chambers County
01019	Cherokee County
01021	Chilton County
01023	Choctaw County
01025	Clarke County
01027	Clay County
01029	Cleburne County
01031	Coffee County
01033	Colbert County
01035	Conecuh County
01037	Coosa County
01039	Covington County
01041	Crenshaw County
01043	Cullman County
01045	Dale County
01047	Dallas County
01049	DeKalb County
01051	Elmore County
01053	Escambia County
01055	Etowah County
01057	Fayette County
01059	Franklin County
01061	Geneva County
01063	Greene County
01065	Hale County
01067	Henry County
01069	Houston County
01071	Jackson County
01073	Jefferson County
01075	Lamar County
01077	Lauderdale County
01079	Lawrence County
01081	Lee County
01083	Limestone County
01085	Lowndes County
01087	Macon County
01089	Madison County
01091	Marengo County
01093	Marion County
01095	Marshall County
01097	Mobile County
01099	Monroe County
01101	Montgomery County
01103	Morgan County
01105	Perry County
01107	Pickens County
01109	Pike County
01111	Randolph County
01113	Russell County
01115	St. Clair County
01117	Shelby County
01119	Sumter County
01121	Talladega County
01123	Tallapoosa County
01125	Tuscaloosa County
01127	Walker County
01129	Washington County
01131	Wilcox County
01133	Winston County
02000	Arizona
02001	Apache County
02003	Cochise County
02005	Coconino County
02007	Gila County
02009	Graham County
02011	Greenlee County
02012	La Paz County
02013	Maricopa County
02015	Mohave County
02017	Navajo County
02019	Pima County
02021	Pinal County
02023	Santa Cruz County
02025	Yavapai County
02027	Yuma County
03000	Arkansas
03001	Arkansas County
03003	Ashley County
03005	Baxter County
03007	Benton County
03009	Boone County
03011	Bradley County
03013	Calhoun County
03015	Carroll County
03017	Chicot County
03019	Clark County
03021	Clay County
03023	Cleburne County
03025	Cleveland County
03027	Columbia County
03029	Conway County
03031	Craighead County
03033	Crawford County
03035	Crittenden County
03037	Cross County
03039	Dallas County
03041	Desha County
03043	Drew County
03045	Faulkner County
03047	Franklin County
03049	Fulton County
03051	Garland County
03053	Grant County
03055	Greene County
03057	Hempstead County
03059	Hot Spring County
03061	Howard County
03063	Independence County
03065	Izard County
03067	Jackson County
03069	Jefferson County
03071	Johnson County
03073	Lafayette County
03075	Lawrence County
03077	Lee County
